Date,Altas nuevos usuarios activos ab. anual sin ttp,Altas nuevos usuarios activos ab. anual con ttp,Altas nuevos usuarios activos ab. anual total,,Usuarios activos ab. anual sin ttp acumulado desde inicio,Usuarios activos ab. anual con ttp acumulado desde inicio,Usuarios activos ab. anual total acumulado desde inicio,,,,,,,,,,,,
1/27/2019,24,51,75,,"25,675","40,203","65,878",,,,,,,,,,,,
1/28/2019,-1,4,3,,"25,674","40,207","65,881",,,,,,,,,,,,
1/29/2019,-2,-4,-6,,"25,672","40,203","65,875",,,,,,,,,,,,
1/30/2019,-10,-50,-60,,"25,662","40,153","65,815",,,,,,,,,,,,
1/31/2019,11,-14,-3,,"25,673","40,139","65,812",,,,,,,,,,,,
2/1/2019,-2,-12,-14,,"25,671","40,127","65,798",,,,,,,,,,,,
2/2/2019,4,37,41,,"25,675","40,164","65,839",,,,,,,,,,,,
2/3/2019,9,38,47,,"25,684","40,202","65,886",,,,,,,,,,,,
2/4/2019,-6,-14,-20,,"25,678","40,188","65,866",,,,,,,,,,,,
2/5/2019,-1,20,19,,"25,677","40,208","65,885",,,,,,,,,,,,
2/6/2019,-19,13,-6,,"25,658","40,221","65,879",,,,,,,,,,,,
2/7/2019,1,-27,-26,,"25,659","40,194","65,853",,,,,,,,,,,,
2/8/2019,-7,0,-7,,"25,652","40,194","65,846",,,,,,,,,,,,
2/9/2019,3,37,40,,"25,655","40,231","65,886",,,,,,,,,,,,
2/10/2019,12,31,43,,"25,667","40,262","65,929",,,,,,,,,,,,
2/11/2019,-3,2,-1,,"25,664","40,264","65,928",,,,,,,,,,,,
2/12/2019,-2,0,-2,,"25,662","40,264","65,926",,,,,,,,,,,,
2/13/2019,-16,-25,-41,,"25,646","40,239","65,885",,,,,,,,,,,,
2/14/2019,0,8,8,,"25,646","40,247","65,893",,,,,,,,,,,,
2/15/2019,3,20,23,,"25,649","40,267","65,916",,,,,,,,,,,,
2/16/2019,22,54,76,,"25,671","40,321","65,992",,,,,,,,,,,,
2/17/2019,17,54,71,,"25,688","40,375","66,063",,,,,,,,,,,,
2/18/2019,6,-6,0,,"25,694","40,369","66,063",,,,,,,,,,,,
2/19/2019,-3,24,21,,"25,691","40,393","66,084",,,,,,,,,,,,
2/20/2019,-17,-47,-64,,"25,674","40,346","66,020",,,,,,,,,,,,
2/21/2019,-7,19,12,,"25,667","40,365","66,032",,,,,,,,,,,,
2/22/2019,4,19,23,,"25,671","40,384","66,055",,,,,,,,,,,,
2/23/2019,25,57,82,,"25,696","40,441","66,137",,,,,,,,,,,,
2/24/2019,18,44,62,,"25,714","40,485","66,199",,,,,,,,,,,,
2/25/2019,-3,10,7,,"25,711","40,495","66,206",,,,,,,,,,,,
2/26/2019,5,13,18,,"25,716","40,508","66,224",,,,,,,,,,,,
2/27/2019,-35,-21,-56,,"25,681","40,487","66,168",,,,,,,,,,,,
2/28/2019,-11,37,26,,"25,670","40,524","66,194",,,,,,,,,,,,
3/1/2019,4,32,36,,"25,674","40,556","66,230",,,,,,,,,,,,
3/2/2019,22,77,99,,"25,696","40,633","66,329",,,,,,,,,,,,
3/3/2019,12,70,82,,"25,708","40,703","66,411",,,,,,,,,,,,
3/4/2019,4,12,16,,"25,712","40,715","66,427",,,,,,,,,,,,
3/5/2019,8,7,15,,"25,720","40,722","66,442",,,,,,,,,,,,
3/6/2019,-41,-42,-83,,"25,679","40,680","66,359",,,,,,,,,,,,
3/7/2019,-14,21,7,,"25,665","40,701","66,366",,,,,,,,,,,,
3/8/2019,-13,32,19,,"25,652","40,733","66,385",,,,,,,,,,,,
3/9/2019,24,59,83,,"25,676","40,792","66,468",,,,,,,,,,,,
3/10/2019,31,96,127,,"25,707","40,888","66,595",,,,,,,,,,,,
3/11/2019,3,24,27,,"25,710","40,912","66,622",,,,,,,,,,,,
3/12/2019,-9,29,20,,"25,701","40,941","66,642",,,,,,,,,,,,
3/13/2019,-32,-7,-39,,"25,669","40,934","66,603",,,,,,,,,,,,
3/14/2019,-2,9,7,,"25,667","40,943","66,610",,,,,,,,,,,,
3/15/2019,0,27,27,,"25,667","40,970","66,637",,,,,,,,,,,,
3/16/2019,16,74,90,,"25,683","41,044","66,727",,,,,,,,,,,,
3/17/2019,29,98,127,,"25,712","41,142","66,854",,,,,,,,,,,,
3/18/2019,-14,10,-4,,"25,698","41,152","66,850",,,,,,,,,,,,
3/19/2019,14,-1,13,,"25,712","41,151","66,863",,,,,,,,,,,,
3/20/2019,-47,8,-39,,"25,665","41,159","66,824",,,,,,,,,,,,
3/21/2019,-10,12,2,,"25,655","41,171","66,826",,,,,,,,,,,,
3/22/2019,-4,15,11,,"25,651","41,186","66,837",,,,,,,,,,,,
3/23/2019,22,65,87,,"25,673","41,251","66,924",,,,,,,,,,,,
3/24/2019,18,79,97,,"25,691","41,330","67,021",,,,,,,,,,,,
3/25/2019,2,15,17,,"25,693","41,345","67,038",,,,,,,,,,,,
3/26/2019,-2,1,-1,,"25,691","41,346","67,037",,,,,,,,,,,,
3/27/2019,-26,-31,-57,,"25,665","41,315","66,980",,,,,,,,,,,,
3/28/2019,9,7,16,,"25,674","41,322","66,996",,,,,,,,,,,,
3/29/2019,0,8,8,,"25,674","41,330","67,004",,,,,,,,,,,,
3/30/2019,27,69,96,,"25,701","41,399","67,100",,,,,,,,,,,,
3/31/2019,2,39,41,,"25,703","41,438","67,141",,,,,,,,,,,,
4/1/2019,14,8,22,,"25,717","41,446","67,163",,,,,,,,,,,,
4/2/2019,-8,13,5,,"25,709","41,459","67,168",,,,,,,,,,,,
4/3/2019,-26,-33,-59,,"25,683","41,426","67,109",,,,,,,,,,,,
4/4/2019,-5,0,-5,,"25,678","41,426","67,104",,,,,,,,,,,,
4/5/2019,3,-13,-10,,"25,681","41,413","67,094",,,,,,,,,,,,
4/6/2019,-3,11,8,,"25,678","41,424","67,102",,,,,,,,,,,,
4/7/2019,8,11,19,,"25,686","41,435","67,121",,,,,,,,,,,,
4/8/2019,13,11,24,,"25,699","41,446","67,145",,,,,,,,,,,,
4/9/2019,-28,-53,-81,,"25,671","41,393","67,064",,,,,,,,,,,,
4/10/2019,-43,-62,-105,,"25,628","41,331","66,959",,,,,,,,,,,,
4/11/2019,13,21,34,,"25,641","41,352","66,993",,,,,,,,,,,,
4/12/2019,-22,-30,-52,,"25,619","41,322","66,941",,,,,,,,,,,,
4/13/2019,12,45,57,,"25,631","41,367","66,998",,,,,,,,,,,,
4/14/2019,17,81,98,,"25,648","41,448","67,096",,,,,,,,,,,,
4/15/2019,-16,-9,-25,,"25,632","41,439","67,071",,,,,,,,,,,,
4/16/2019,1,-2,-1,,"25,633","41,437","67,070",,,,,,,,,,,,
4/17/2019,-3,-21,-24,,"25,630","41,416","67,046",,,,,,,,,,,,
4/18/2019,-8,2,-6,,"25,622","41,418","67,040",,,,,,,,,,,,
4/19/2019,-2,5,3,,"25,620","41,423","67,043",,,,,,,,,,,,
4/20/2019,1,18,19,,"25,621","41,441","67,062",,,,,,,,,,,,
4/21/2019,7,20,27,,"25,628","41,461","67,089",,,,,,,,,,,,
4/22/2019,-34,-73,-107,,"25,594","41,388","66,982",,,,,,,,,,,,
4/23/2019,-12,-39,-51,,"25,582","41,349","66,931",,,,,,,,,,,,
4/24/2019,-5,-27,-32,,"25,577","41,322","66,899",,,,,,,,,,,,
4/25/2019,-15,-23,-38,,"25,562","41,299","66,861",,,,,,,,,,,,
4/26/2019,-19,2,-17,,"25,543","41,301","66,844",,,,,,,,,,,,
4/27/2019,18,67,85,,"25,561","41,368","66,929",,,,,,,,,,,,
4/28/2019,21,64,85,,"25,582","41,432","67,014",,,,,,,,,,,,
4/29/2019,-31,-69,-100,,"25,551","41,363","66,914",,,,,,,,,,,,
4/30/2019,-17,8,-9,,"25,534","41,371","66,905",,,,,,,,,,,,
5/1/2019,14,87,101,,"25,548","41,458","67,006",,,,,,,,,,,,
5/2/2019,6,73,79,,"25,554","41,531","67,085",,,,,,,,,,,,
5/3/2019,0,-27,-27,,"25,554","41,504","67,058",,,,,,,,,,,,
5/4/2019,14,71,85,,"25,568","41,575","67,143",,,,,,,,,,,,
5/5/2019,13,54,67,,"25,581","41,629","67,210",,,,,,,,,,,,
5/6/2019,-71,-113,-184,,"25,510","41,516","67,026",,,,,,,,,,,,
5/7/2019,-7,-17,-24,,"25,503","41,499","67,002",,,,,,,,,,,,
5/8/2019,-1,-11,-12,,"25,502","41,488","66,990",,,,,,,,,,,,
5/9/2019,-3,10,7,,"25,499","41,498","66,997",,,,,,,,,,,,
5/10/2019,14,-10,4,,"25,513","41,488","67,001",,,,,,,,,,,,
5/11/2019,24,79,103,,"25,537","41,567","67,104",,,,,,,,,,,,
5/12/2019,25,52,77,,"25,562","41,619","67,181",,,,,,,,,,,,
5/13/2019,-5,-42,-47,,"25,557","41,577","67,134",,,,,,,,,,,,
5/14/2019,5,7,12,,"25,562","41,584","67,146",,,,,,,,,,,,
5/15/2019,7,75,82,,"25,569","41,659","67,228",,,,,,,,,,,,
5/16/2019,-37,-109,-146,,"25,532","41,550","67,082",,,,,,,,,,,,
5/17/2019,-57,-86,-143,,"25,475","41,464","66,939",,,,,,,,,,,,
5/18/2019,19,52,71,,"25,494","41,516","67,010",,,,,,,,,,,,
5/19/2019,21,46,67,,"25,515","41,562","67,077",,,,,,,,,,,,
5/20/2019,-3,-5,-8,,"25,512","41,557","67,069",,,,,,,,,,,,
5/21/2019,-19,0,-19,,"25,493","41,557","67,050",,,,,,,,,,,,
5/22/2019,-1,-3,-4,,"25,492","41,554","67,046",,,,,,,,,,,,
5/23/2019,-10,-13,-23,,"25,482","41,541","67,023",,,,,,,,,,,,
5/24/2019,-69,-34,-103,,"25,413","41,507","66,920",,,,,,,,,,,,
5/25/2019,11,42,53,,"25,424","41,549","66,973",,,,,,,,,,,,
5/26/2019,14,42,56,,"25,438","41,591","67,029",,,,,,,,,,,,
5/27/2019,-12,-4,-16,,"25,426","41,587","67,013",,,,,,,,,,,,
5/28/2019,-41,-44,-85,,"25,385","41,543","66,928",,,,,,,,,,,,
5/29/2019,-10,15,5,,"25,375","41,558","66,933",,,,,,,,,,,,
5/30/2019,-40,-62,-102,,"25,335","41,496","66,831",,,,,,,,,,,,
5/31/2019,-10,12,2,,"25,325","41,508","66,833",,,,,,,,,,,,
6/1/2019,26,54,80,,"25,351","41,562","66,913",,,,,,,,,,,,
6/2/2019,16,69,85,,"25,367","41,631","66,998",,,,,,,,,,,,
6/3/2019,-9,17,8,,"25,358","41,648","67,006",,,,,,,,,,,,
6/4/2019,4,7,11,,"25,362","41,655","67,017",,,,,,,,,,,,
6/5/2019,-7,29,22,,"25,355","41,684","67,039",,,,,,,,,,,,
6/6/2019,-35,-62,-97,,"25,320","41,622","66,942",,,,,,,,,,,,
6/7/2019,16,29,45,,"25,336","41,651","66,987",,,,,,,,,,,,
6/8/2019,14,22,36,,"25,350","41,673","67,023",,,,,,,,,,,,
6/9/2019,7,40,47,,"25,357","41,713","67,070",,,,,,,,,,,,
6/10/2019,-18,-4,-22,,"25,339","41,709","67,048",,,,,,,,,,,,
6/11/2019,-16,12,-4,,"25,323","41,721","67,044",,,,,,,,,,,,
6/12/2019,-21,0,-21,,"25,302","41,721","67,023",,,,,,,,,,,,
6/13/2019,-52,-58,-110,,"25,250","41,663","66,913",,,,,,,,,,,,
6/14/2019,-35,1,-34,,"25,215","41,664","66,879",,,,,,,,,,,,
6/15/2019,17,41,58,,"25,232","41,705","66,937",,,,,,,,,,,,
6/16/2019,21,54,75,,"25,253","41,759","67,012",,,,,,,,,,,,
6/17/2019,-7,-20,-27,,"25,246","41,739","66,985",,,,,,,,,,,,
6/18/2019,-4,-20,-24,,"25,242","41,719","66,961",,,,,,,,,,,,
6/19/2019,-18,-18,-36,,"25,224","41,701","66,925",,,,,,,,,,,,
6/20/2019,-75,-110,-185,,"25,149","41,591","66,740",,,,,,,,,,,,
6/21/2019,-10,9,-1,,"25,139","41,600","66,739",,,,,,,,,,,,
6/22/2019,11,48,59,,"25,150","41,648","66,798",,,,,,,,,,,,
6/23/2019,10,43,53,,"25,160","41,691","66,851",,,,,,,,,,,,
6/24/2019,-8,-3,-11,,"25,152","41,688","66,840",,,,,,,,,,,,
6/25/2019,-1,4,3,,"25,151","41,692","66,843",,,,,,,,,,,,
6/26/2019,-15,-32,-47,,"25,136","41,660","66,796",,,,,,,,,,,,
6/27/2019,-37,-79,-116,,"25,099","41,581","66,680",,,,,,,,,,,,
6/28/2019,-23,-2,-25,,"25,076","41,579","66,655",,,,,,,,,,,,
6/29/2019,16,47,63,,"25,092","41,626","66,718",,,,,,,,,,,,
6/30/2019,15,39,54,,"25,107","41,665","66,772",,,,,,,,,,,,
7/1/2019,-9,-17,-26,,"25,098","41,648","66,746",,,,,,,,,,,,
7/2/2019,-9,7,-2,,"25,089","41,655","66,744",,,,,,,,,,,,
7/3/2019,-7,20,13,,"25,082","41,675","66,757",,,,,,,,,,,,
7/4/2019,-44,-65,-109,,"25,038","41,610","66,648",,,,,,,,,,,,
7/5/2019,-14,-8,-22,,"25,024","41,602","66,626",,,,,,,,,,,,
7/6/2019,20,33,53,,"25,044","41,635","66,679",,,,,,,,,,,,
7/7/2019,19,23,42,,"25,063","41,658","66,721",,,,,,,,,,,,
7/8/2019,-19,-33,-52,,"25,044","41,625","66,669",,,,,,,,,,,,
7/9/2019,-9,-19,-28,,"25,035","41,606","66,641",,,,,,,,,,,,
7/10/2019,-5,-7,-12,,"25,030","41,599","66,629",,,,,,,,,,,,
7/11/2019,-97,-113,-210,,"24,933","41,486","66,419",,,,,,,,,,,,
7/12/2019,-33,-9,-42,,"24,900","41,477","66,377",,,,,,,,,,,,
7/13/2019,16,16,32,,"24,916","41,493","66,409",,,,,,,,,,,,
7/14/2019,4,23,27,,"24,920","41,516","66,436",,,,,,,,,,,,
7/15/2019,-8,-7,-15,,"24,912","41,509","66,421",,,,,,,,,,,,
7/16/2019,-10,7,-3,,"24,902","41,516","66,418",,,,,,,,,,,,
7/17/2019,4,-21,-17,,"24,906","41,495","66,401",,,,,,,,,,,,
7/18/2019,-50,-66,-116,,"24,856","41,429","66,285",,,,,,,,,,,,
7/19/2019,-29,-17,-46,,"24,827","41,412","66,239",,,,,,,,,,,,
7/20/2019,9,42,51,,"24,836","41,454","66,290",,,,,,,,,,,,
7/21/2019,-7,36,29,,"24,829","41,490","66,319",,,,,,,,,,,,
7/22/2019,-56,-56,-112,,"24,773","41,434","66,207",,,,,,,,,,,,
7/23/2019,-18,-18,-36,,"24,755","41,416","66,171",,,,,,,,,,,,
7/24/2019,-30,-26,-56,,"24,725","41,390","66,115",,,,,,,,,,,,
7/25/2019,-75,-7,-82,,"24,650","41,383","66,033",,,,,,,,,,,,
7/26/2019,-33,-94,-127,,"24,617","41,289","65,906",,,,,,,,,,,,
7/27/2019,21,29,50,,"24,638","41,318","65,956",,,,,,,,,,,,
7/28/2019,5,45,50,,"24,643","41,363","66,006",,,,,,,,,,,,
7/29/2019,-10,-39,-49,,"24,633","41,324","65,957",,,,,,,,,,,,
7/30/2019,-19,-9,-28,,"24,614","41,315","65,929",,,,,,,,,,,,
7/31/2019,-15,-11,-26,,"24,599","41,304","65,903",,,,,,,,,,,,
8/1/2019,-56,-60,-116,,"24,543","41,244","65,787",,,,,,,,,,,,
8/2/2019,-7,-17,-24,,"24,536","41,227","65,763",,,,,,,,,,,,
8/3/2019,8,38,46,,"24,544","41,265","65,809",,,,,,,,,,,,
8/4/2019,20,25,45,,"24,564","41,290","65,854",,,,,,,,,,,,
8/5/2019,-11,-4,-15,,"24,553","41,286","65,839",,,,,,,,,,,,
8/6/2019,-16,7,-9,,"24,537","41,293","65,830",,,,,,,,,,,,
8/7/2019,2,0,2,,"24,539","41,293","65,832",,,,,,,,,,,,
8/8/2019,-73,-93,-166,,"24,466","41,200","65,666",,,,,,,,,,,,
8/9/2019,-24,-22,-46,,"24,442","41,178","65,620",,,,,,,,,,,,
8/10/2019,-1,12,11,,"24,441","41,190","65,631",,,,,,,,,,,,
8/11/2019,6,31,37,,"24,447","41,221","65,668",,,,,,,,,,,,
8/12/2019,-1,-26,-27,,"24,446","41,195","65,641",,,,,,,,,,,,
8/13/2019,-17,4,-13,,"24,429","41,199","65,628",,,,,,,,,,,,
8/14/2019,-10,-22,-32,,"24,419","41,177","65,596",,,,,,,,,,,,
8/15/2019,20,37,57,,"24,439","41,214","65,653",,,,,,,,,,,,
8/16/2019,10,-2,8,,"24,449","41,212","65,661",,,,,,,,,,,,
8/17/2019,6,42,48,,"24,455","41,254","65,709",,,,,,,,,,,,
8/18/2019,14,19,33,,"24,469","41,273","65,742",,,,,,,,,,,,
8/19/2019,-23,-34,-57,,"24,446","41,239","65,685",,,,,,,,,,,,
8/20/2019,-60,-72,-132,,"24,386","41,167","65,553",,,,,,,,,,,,
8/21/2019,-19,-9,-28,,"24,367","41,158","65,525",,,,,,,,,,,,
8/22/2019,-6,5,-1,,"24,361","41,163","65,524",,,,,,,,,,,,
8/23/2019,-43,-92,-135,,"24,318","41,071","65,389",,,,,,,,,,,,
8/24/2019,23,46,69,,"24,341","41,117","65,458",,,,,,,,,,,,
8/25/2019,5,21,26,,"24,346","41,138","65,484",,,,,,,,,,,,
8/26/2019,-19,-17,-36,,"24,327","41,121","65,448",,,,,,,,,,,,
8/27/2019,7,-34,-27,,"24,334","41,087","65,421",,,,,,,,,,,,
8/28/2019,-25,-29,-54,,"24,309","41,058","65,367",,,,,,,,,,,,
8/29/2019,-40,-62,-102,,"24,269","40,996","65,265",,,,,,,,,,,,
8/30/2019,-25,9,-16,,"24,244","41,005","65,249",,,,,,,,,,,,
8/31/2019,25,40,65,,"24,269","41,045","65,314",,,,,,,,,,,,
9/1/2019,15,58,73,,"24,284","41,103","65,387",,,,,,,,,,,,
9/2/2019,2,7,9,,"24,286","41,110","65,396",,,,,,,,,,,,
9/3/2019,9,7,16,,"24,295","41,117","65,412",,,,,,,,,,,,
9/4/2019,-19,-3,-22,,"24,276","41,114","65,390",,,,,,,,,,,,
9/5/2019,-41,-67,-108,,"24,235","41,047","65,282",,,,,,,,,,,,
9/6/2019,-9,12,3,,"24,226","41,059","65,285",,,,,,,,,,,,
9/7/2019,23,57,80,,"24,249","41,116","65,365",,,,,,,,,,,,
9/8/2019,35,52,87,,"24,284","41,168","65,452",,,,,,,,,,,,
9/9/2019,6,25,31,,"24,290","41,193","65,483",,,,,,,,,,,,
9/10/2019,-3,-10,-13,,"24,287","41,183","65,470",,,,,,,,,,,,
9/11/2019,-20,-16,-36,,"24,267","41,167","65,434",,,,,,,,,,,,
9/12/2019,-102,-130,-232,,"24,165","41,037","65,202",,,,,,,,,,,,
9/13/2019,-39,-37,-76,,"24,126","41,000","65,126",,,,,,,,,,,,
9/14/2019,12,17,29,,"24,138","41,017","65,155",,,,,,,,,,,,
9/15/2019,16,31,47,,"24,154","41,048","65,202",,,,,,,,,,,,
9/16/2019,-16,-35,-51,,"24,138","41,013","65,151",,,,,,,,,,,,
9/17/2019,-10,5,-5,,"24,128","41,018","65,146",,,,,,,,,,,,
9/18/2019,-33,-2,-35,,"24,095","41,016","65,111",,,,,,,,,,,,
9/19/2019,-84,-114,-198,,"24,011","40,902","64,913",,,,,,,,,,,,
9/20/2019,-18,-14,-32,,"23,993","40,888","64,881",,,,,,,,,,,,
9/21/2019,22,17,39,,"24,015","40,905","64,920",,,,,,,,,,,,
9/22/2019,17,61,78,,"24,032","40,966","64,998",,,,,,,,,,,,
9/23/2019,-15,-39,-54,,"24,017","40,927","64,944",,,,,,,,,,,,
9/24/2019,-27,-50,-77,,"23,990","40,877","64,867",,,,,,,,,,,,
9/25/2019,-15,-16,-31,,"23,975","40,861","64,836",,,,,,,,,,,,
9/26/2019,-109,-620,-729,,"23,866","40,241","64,107",,,,,,,,,,,,
9/27/2019,-17,15,-2,,"23,849","40,256","64,105",,,,,,,,,,,,
9/28/2019,44,59,103,,"23,893","40,315","64,208",,,,,,,,,,,,
9/29/2019,36,70,106,,"23,929","40,385","64,314",,,,,,,,,,,,
9/30/2019,-4,-19,-23,,"23,925","40,366","64,291",,,,,,,,,,,,
10/1/2019,-28,-16,-44,,"23,897","40,350","64,247",,,,,,,,,,,,
10/2/2019,-36,-33,-69,,"23,861","40,317","64,178",,,,,,,,,,,,
10/3/2019,-81,-141,-222,,"23,780","40,176","63,956",,,,,,,,,,,,
10/4/2019,-15,-9,-24,,"23,765","40,167","63,932",,,,,,,,,,,,
10/5/2019,40,40,80,,"23,805","40,207","64,012",,,,,,,,,,,,
10/6/2019,42,69,111,,"23,847","40,276","64,123",,,,,,,,,,,,
10/7/2019,18,-12,6,,"23,865","40,264","64,129",,,,,,,,,,,,
10/8/2019,-8,-47,-55,,"23,857","40,217","64,074",,,,,,,,,,,,
10/9/2019,-25,8,-17,,"23,832","40,225","64,057",,,,,,,,,,,,
10/10/2019,-71,-93,-164,,"23,761","40,132","63,893",,,,,,,,,,,,
10/11/2019,-9,-4,-13,,"23,752","40,128","63,880",,,,,,,,,,,,
10/12/2019,20,58,78,,"23,772","40,186","63,958",,,,,,,,,,,,
10/13/2019,29,39,68,,"23,801","40,225","64,026",,,,,,,,,,,,
10/14/2019,-24,-59,-83,,"23,777","40,166","63,943",,,,,,,,,,,,
10/15/2019,-31,-40,-71,,"23,746","40,126","63,872",,,,,,,,,,,,
10/16/2019,-28,-11,-39,,"23,718","40,115","63,833",,,,,,,,,,,,
10/17/2019,-75,-115,-190,,"23,643","40,000","63,643",,,,,,,,,,,,
10/18/2019,-13,-25,-38,,"23,630","39,975","63,605",,,,,,,,,,,,
10/19/2019,22,22,44,,"23,652","39,997","63,649",,,,,,,,,,,,
10/20/2019,18,21,39,,"23,670","40,018","63,688",,,,,,,,,,,,
10/21/2019,-10,-12,-22,,"23,660","40,006","63,666",,,,,,,,,,,,
10/22/2019,-17,-32,-49,,"23,643","39,974","63,617",,,,,,,,,,,,
10/23/2019,-20,-37,-57,,"23,623","39,937","63,560",,,,,,,,,,,,
10/24/2019,-60,-129,-189,,"23,563","39,808","63,371",,,,,,,,,,,,
10/25/2019,-6,-2,-8,,"23,557","39,806","63,363",,,,,,,,,,,,
10/26/2019,8,30,38,,"23,565","39,836","63,401",,,,,,,,,,,,
10/27/2019,33,20,53,,"23,598","39,856","63,454",,,,,,,,,,,,
10/28/2019,-12,-1,-13,,"23,586","39,855","63,441",,,,,,,,,,,,
10/29/2019,-4,-16,-20,,"23,582","39,839","63,421",,,,,,,,,,,,
10/30/2019,-10,-4,-14,,"23,572","39,835","63,407",,,,,,,,,,,,
10/31/2019,-47,-35,-82,,"23,525","39,800","63,325",,,,,,,,,,,,
11/1/2019,19,51,70,,"23,544","39,851","63,395",,,,,,,,,,,,
11/2/2019,34,33,67,,"23,578","39,884","63,462",,,,,,,,,,,,
11/3/2019,15,43,58,,"23,593","39,927","63,520",,,,,,,,,,,,
11/4/2019,-32,-59,-91,,"23,561","39,868","63,429",,,,,,,,,,,,
11/5/2019,-15,-23,-38,,"23,546","39,845","63,391",,,,,,,,,,,,
11/6/2019,-5,-16,-21,,"23,541","39,829","63,370",,,,,,,,,,,,
11/7/2019,-5,-4,-9,,"23,536","39,825","63,361",,,,,,,,,,,,
11/8/2019,-43,-59,-102,,"23,493","39,766","63,259",,,,,,,,,,,,
11/9/2019,6,10,16,,"23,499","39,776","63,275",,,,,,,,,,,,
11/10/2019,-17,27,10,,"23,482","39,803","63,285",,,,,,,,,,,,
11/11/2019,-14,-4,-18,,"23,468","39,799","63,267",,,,,,,,,,,,
11/12/2019,-35,10,-25,,"23,433","39,809","63,242",,,,,,,,,,,,
11/13/2019,-5,-14,-19,,"23,428","39,795","63,223",,,,,,,,,,,,
11/14/2019,-93,-93,-186,,"23,335","39,702","63,037",,,,,,,,,,,,
11/15/2019,-2,-6,-8,,"23,333","39,696","63,029",,,,,,,,,,,,
11/16/2019,7,11,18,,"23,340","39,707","63,047",,,,,,,,,,,,
11/17/2019,5,15,20,,"23,345","39,722","63,067",,,,,,,,,,,,
11/18/2019,-3,8,5,,"23,342","39,730","63,072",,,,,,,,,,,,
11/19/2019,-1,-39,-40,,"23,341","39,691","63,032",,,,,,,,,,,,
11/20/2019,-16,-2,-18,,"23,325","39,689","63,014",,,,,,,,,,,,
11/21/2019,-72,-34,-106,,"23,253","39,655","62,908",,,,,,,,,,,,
11/22/2019,-20,-33,-53,,"23,233","39,622","62,855",,,,,,,,,,,,
11/23/2019,4,21,25,,"23,237","39,643","62,880",,,,,,,,,,,,
11/24/2019,8,10,18,,"23,245","39,653","62,898",,,,,,,,,,,,
11/25/2019,2,-9,-7,,"23,247","39,644","62,891",,,,,,,,,,,,
11/26/2019,-2,-12,-14,,"23,245","39,632","62,877",,,,,,,,,,,,
11/27/2019,-16,27,11,,"23,229","39,659","62,888",,,,,,,,,,,,
11/28/2019,-34,-79,-113,,"23,195","39,580","62,775",,,,,,,,,,,,
11/29/2019,-5,-19,-24,,"23,190","39,561","62,751",,,,,,,,,,,,
11/30/2019,6,33,39,,"23,196","39,594","62,790",,,,,,,,,,,,
12/1/2019,3,10,13,,"23,199","39,604","62,803",,,,,,,,,,,,
12/2/2019,5,-9,-4,,"23,204","39,595","62,799",,,,,,,,,,,,
12/3/2019,-7,-2,-9,,"23,197","39,593","62,790",,,,,,,,,,,,
12/4/2019,-4,5,1,,"23,193","39,598","62,791",,,,,,,,,,,,
12/5/2019,-26,-67,-93,,"23,167","39,531","62,698",,,,,,,,,,,,
12/6/2019,3,30,33,,"23,170","39,561","62,731",,,,,,,,,,,,
12/7/2019,16,17,33,,"23,186","39,578","62,764",,,,,,,,,,,,
12/8/2019,13,10,23,,"23,199","39,588","62,787",,,,,,,,,,,,
12/9/2019,6,20,26,,"23,205","39,608","62,813",,,,,,,,,,,,
12/10/2019,-2,-3,-5,,"23,203","39,605","62,808",,,,,,,,,,,,
12/11/2019,0,-8,-8,,"23,203","39,597","62,800",,,,,,,,,,,,
12/12/2019,-9,-10,-19,,"23,194","39,587","62,781",,,,,,,,,,,,
12/13/2019,-7,-29,-36,,"23,187","39,558","62,745",,,,,,,,,,,,
12/14/2019,4,-3,1,,"23,191","39,555","62,746",,,,,,,,,,,,
12/15/2019,0,-12,-12,,"23,191","39,543","62,734",,,,,,,,,,,,
12/16/2019,-32,-83,-115,,"23,159","39,460","62,619",,,,,,,,,,,,
12/17/2019,-16,-35,-51,,"23,143","39,425","62,568",,,,,,,,,,,,
12/18/2019,-16,-23,-39,,"23,127","39,402","62,529",,,,,,,,,,,,
12/19/2019,-8,-20,-28,,"23,119","39,382","62,501",,,,,,,,,,,,
12/20/2019,-48,-64,-112,,"23,071","39,318","62,389",,,,,,,,,,,,
12/21/2019,2,-86,-84,,"23,073","39,232","62,305",,,,,,,,,,,,
12/22/2019,3,-6,-3,,"23,076","39,226","62,302",,,,,,,,,,,,
12/23/2019,-7,-38,-45,,"23,069","39,188","62,257",,,,,,,,,,,,
12/24/2019,-6,2,-4,,"23,063","39,190","62,253",,,,,,,,,,,,
12/25/2019,4,7,11,,"23,067","39,197","62,264",,,,,,,,,,,,
12/26/2019,-11,6,-5,,"23,056","39,203","62,259",,,,,,,,,,,,
12/27/2019,-21,-36,-57,,"23,035","39,167","62,202",,,,,,,,,,,,
12/28/2019,5,5,10,,"23,040","39,172","62,212",,,,,,,,,,,,
12/29/2019,1,14,15,,"23,041","39,186","62,227",,,,,,,,,,,,
12/30/2019,-12,-1,-13,,"23,029","39,185","62,214",,,,,,,,,,,,
12/31/2019,-13,-16,-29,,"23,016","39,169","62,185",,,,,,,,,,,,
1/1/2020,-2,24,22,,"23,014","39,193","62,207",,,,,,,,,,,,
